	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
100	Hspd1	560.930871636023	1.73127087589429	0.241089192626729	7.18103892186808	6.918365142290509e-13	1.02789096361596e-10
101	Oas2	295.228646294124	3.13150662041276	0.437413214694576	7.15914955289892	8.11790874791708e-13	1.1942876340318002e-10
102	Spdef	153.395359372843	-2.37366617390394	0.331870455675792	-7.15238772632055	8.528127740459399e-13	1.24245713469256e-10
103	Cdk1	295.955420226755	3.6234250161478	0.507037477946119	7.14626664448037	8.91697722476539e-13	1.2866169253349e-10
104	Muc1	2139.32413318388	-2.69725279198117	0.378783519600611	-7.12082931914555	1.07279576457507e-12	1.53317840411557e-10
105	Ehhadh	254.010690298164	-2.03613065097575	0.286253791795333	-7.11302595576289	1.1352591828632e-12	1.60714144321181e-10
106	Rab26	307.666096830484	-3.15126738028251	0.443665530377887	-7.10279966441939	1.22254563553245e-12	1.71453456138317e-10
107	Gstm2	461.218877114448	-2.09743544340001	0.296365644337125	-7.07718820813831	1.4710868438430299e-12	2.043993442473e-10
108	Plk2	857.698579049246	-2.64185985550313	0.377292689620346	-7.00214959945692	2.52064712779036e-12	3.47016796326809e-10
109	H3c15	36.234441605778	-3.32519446498953	0.477401761691489	-6.96519102319184	3.2795844479962497e-12	4.47394947514833e-10
110	Cib2	149.971699765881	-2.67297445842793	0.384406714474849	-6.95350616359439	3.5631737638186897e-12	4.8170257207084e-10
111	Gal	1207.3375466976	-4.55204371555509	0.655390817202785	-6.94554088350407	3.7701301953527696e-12	5.05130122423782e-10
112	Ms4a7	274.093530339464	3.44608823495799	0.496649829764899	6.93866790730459	3.95814358072592e-12	5.25627456392683e-10
113	Slc25a35	221.295687924815	-2.68976096508067	0.389350746971831	-6.90832362850269	4.90414198574962e-12	6.45539952966306e-10
114	Melk	125.701134385476	3.4999357304183	0.507770968867752	6.89274484955806	5.47259826236527e-12	7.14102691522203e-10
115	Lrrc75b	93.6235743335066	-3.30426142331521	0.480502534004613	-6.87667845531796	6.1264177208813e-12	7.92526071720214e-10
116	Nat8f1	282.680378255804	-3.64384290431472	0.530096606260856	-6.87392234033963	6.24602200955003e-12	8.01092361327417e-10
117	Trim50	99.5508078364296	-3.24592150424066	0.472667644537984	-6.86723862263395	6.545653113242939e-12	8.324073781129121e-10
118	Ovol2	83.2740519295878	-3.67381650934433	0.53593571715547	-6.85495739833027	7.13337741505685e-12	8.99524886473472e-10
119	Wars	2246.74740277387	-2.62672352791641	0.384829412303328	-6.82568287126137	8.75080494140222e-12	1.09428815792235e-09
120	Cpb1	1151486.55057167	-3.51224484579667	0.514983286431864	-6.82011424124416	9.09681412972154e-12	1.1281553126496e-09
121	Col8a1	145.071042595855	3.50394660417059	0.514241675859606	6.81381297677477	9.50452525169451e-12	1.16905660595842e-09
122	Fat3	73.3401878255	-3.94479840250423	0.580724157863113	-6.79289529993015	1.0990514572125001e-11	1.34084277779925e-09
123	Skp2	109.951404254604	3.43956087967651	0.507187721524221	6.78163278349839	1.1882519300315299e-11	1.4379764888752502e-09
124	Grpr	26.2516443669199	-4.14769245998704	0.614021175281623	-6.75496648480354	1.4286827775477598e-11	1.7151051007905402e-09
125	Ppic	1247.56526107756	-2.04795990234634	0.303607666896245	-6.74541563222845	1.5258958126150698e-11	1.81726925111919e-09
126	Orai2	264.439092995205	-1.75827269151462	0.261039443928107	-6.73565904468778	1.63188550007526e-11	1.92121641432639e-09
127	2210010C04Rik	886070.853664738	-3.77759686602732	0.560886584878808	-6.73504585038979	1.63878249389429e-11	1.92121641432639e-09
128	Gnat2	72.3106644309127	-2.78062645697128	0.413935401809031	-6.71753719256447	1.8482160199662598e-11	2.13340996889336e-09
129	Pip5k1b	158.813184076302	-2.10660907126252	0.313559414280079	-6.71837289943666	1.8376493088823197e-11	2.13340996889336e-09
130	Trp53inp2	946.173607103143	-1.97102041273389	0.293540046825687	-6.71465591849668	1.8851051170762397e-11	2.15938071655313e-09
131	Npm1	1731.0176420214	1.69973889071169	0.254171902792751	6.68735950762284	2.2723318118263197e-11	2.5832281188080103e-09
132	Bhlha15	2261.12526490329	-2.14835821780728	0.321520813419083	-6.68186359371709	2.3592257910692796e-11	2.66184527975832e-09
133	Slc30a2	152.323290841161	-4.39232015187016	0.659485019923545	-6.66022732764934	2.7340436378161898e-11	3.0617208081395403e-09
134	Ndrg1	810.148827267257	-2.41315335426051	0.363636690143666	-6.63616576563581	3.21947770828936e-11	3.57862833263631e-09
135	Tmed6	5597.65139320638	-2.0143139058911	0.30720790641469	-6.55684265876948	5.495894627026489e-11	6.064073145085261e-09
136	Vsig2	103.129858064628	-2.48143649173405	0.379015821503758	-6.54705252643245	5.868372805207079e-11	6.427795789411491e-09
